episode : 91 | score_avg : -173.57148926602795 | loss : -0.059315357357263565 | sigma : 50.0 | done : False
episode : 92 | score_avg : -176.31434033942514 | loss : -0.05944722145795822 | sigma : 50.0 | done : False
episode : 93 | score_avg : -178.78290630548264 | loss : -0.059876371175050735 | sigma : 50.0 | done : False
episode : 94 | score_avg : -181.00461567493437 | loss : -0.05993681773543358 | sigma : 50.0 | done : False
episode : 95 | score_avg : -182.70415410744096 | loss : -0.04045078903436661 | sigma : 50.0 | done : False
episode : 96 | score_avg : -184.53373869669687 | loss : -0.059483855962753296 | sigma : 50.0 | done : False
episode : 97 | score_avg : -184.53036482702717 | loss : 0.054382335394620895 | sigma : 50.0 | done : False
episode : 98 | score_avg : -184.52732834432445 | loss : 0.047592248767614365 | sigma : 50.0 | done : False
episode : 99 | score_avg : -186.174595509892 | loss : -0.06033720821142197 | sigma : 50.0 | done : False
episode : 100 | score_avg : -185.25713595890278 | loss : 0.1156274601817131 | sigma : 50.0 | done : False
episode : 101 | score_avg : -186.8314223630125 | loss : -0.0627102330327034 | sigma : 50.0 | done : False
episode : 102 | score_avg : -188.24828012671125 | loss : -0.0651543065905571 | sigma : 50.0 | done : False
episode : 103 | score_avg : -187.6234521140401 | loss : 0.08377934992313385 | sigma : 50.0 | done : False
episode : 104 | score_avg : -187.31110690263608 | loss : 0.050380006432533264 | sigma : 50.0 | done : False
episode : 105 | score_avg : -188.6799962123725 | loss : -0.07977361232042313 | sigma : 50.0 | done : False
episode : 106 | score_avg : -172.21199659113526 | loss : 1.8594647645950317 | sigma : 50.0 | done : True
episode : 107 | score_avg : -154.79079693202175 | loss : 3.0120351314544678 | sigma : 50.0 | done : True
episode : 108 | score_avg : -138.41171723881956 | loss : 3.291875123977661 | sigma : 50.0 | done : True
episode : 109 | score_avg : -144.6705455149376 | loss : -0.08884915709495544 | sigma : 50.0 | done : False
episode : 110 | score_avg : -131.40349096344383 | loss : 2.4170444011688232 | sigma : 50.0 | done : True
episode : 111 | score_avg : -137.76314186709945 | loss : -0.07333534955978394 | sigma : 50.0 | done : False
episode : 112 | score_avg : -144.08682768038952 | loss : -0.12536093592643738 | sigma : 50.0 | done : False
episode : 113 | score_avg : -127.07814491235058 | loss : 4.9630255699157715 | sigma : 50.0 | done : True
episode : 114 | score_avg : -110.07033042111553 | loss : 29.749980926513672 | sigma : 50.0 | done : True
episode : 115 | score_avg : -98.86329737900398 | loss : 52.29605484008789 | sigma : 50.0 | done : True
episode : 116 | score_avg : -107.47696764110358 | loss : 69.99097442626953 | sigma : 50.0 | done : False
episode : 117 | score_avg : -95.97927087699323 | loss : 29.267656326293945 | sigma : 50.0 | done : True
episode : 118 | score_avg : -82.03134378929391 | loss : 41.49163055419922 | sigma : 50.0 | done : True
episode : 119 | score_avg : -71.27820941036452 | loss : 7.138227939605713 | sigma : 50.0 | done : True
episode : 120 | score_avg : -62.950388469328075 | loss : 124.6184310913086 | sigma : 50.0 | done : True
episode : 121 | score_avg : -53.85534962239527 | loss : 106.97021484375 | sigma : 50.0 | done : True
episode : 122 | score_avg : -65.56981466015574 | loss : 1.1053190231323242 | sigma : 50.0 | done : False
episode : 123 | score_avg : -58.66283319414017 | loss : 59.242454528808594 | sigma : 50.0 | done : True
episode : 124 | score_avg : -47.996549874726156 | loss : 14.65121841430664 | sigma : 50.0 | done : True
episode : 125 | score_avg : -40.59689488725354 | loss : 26.748065948486328 | sigma : 50.0 | done : True
episode : 126 | score_avg : -36.38720539852819 | loss : 11.513272285461426 | sigma : 50.0 | done : True
episode : 127 | score_avg : -52.84848485867537 | loss : 0.1589050143957138 | sigma : 50.0 | done : False
episode : 128 | score_avg : -55.463636372807834 | loss : 11.620128631591797 | sigma : 50.0 | done : True
episode : 129 | score_avg : -55.01727273552705 | loss : 15.837979316711426 | sigma : 50.0 | done : True
episode : 130 | score_avg : -51.065545461974345 | loss : 4.387284755706787 | sigma : 50.0 | done : True
episode : 131 | score_avg : -44.85899091577691 | loss : 1941.9620361328125 | sigma : 50.0 | done : True
episode : 132 | score_avg : -53.873091824199214 | loss : 0.35443058609962463 | sigma : 50.0 | done : False
episode : 133 | score_avg : -46.085782641779296 | loss : 25.49858856201172 | sigma : 50.0 | done : True
episode : 134 | score_avg : -61.42720437760137 | loss : -0.047546520829200745 | sigma : 50.0 | done : False
episode : 135 | score_avg : -69.68448393984124 | loss : 0.36257243156433105 | sigma : 50.0 | done : False
episode : 136 | score_avg : -80.41603554585711 | loss : 0.11956322193145752 | sigma : 50.0 | done : False
episode : 137 | score_avg : -73.62443199127141 | loss : 18.046470642089844 | sigma : 50.0 | done : True
episode : 138 | score_avg : -71.36198879214426 | loss : 1.0345144271850586 | sigma : 50.0 | done : False
episode : 139 | score_avg : -84.32578991292985 | loss : -0.059327106922864914 | sigma : 50.0 | done : False
episode : 140 | score_avg : -95.99321092163686 | loss : -0.06008099764585495 | sigma : 50.0 | done : False
episode : 141 | score_avg : -102.74388982947318 | loss : 0.21743929386138916 | sigma : 50.0 | done : False
episode : 142 | score_avg : -109.11950084652587 | loss : 0.19379979372024536 | sigma : 50.0 | done : False
episode : 143 | score_avg : -118.30755076187327 | loss : -0.06597182899713516 | sigma : 50.0 | done : False
episode : 144 | score_avg : -125.82679568568594 | loss : -0.015493940562009811 | sigma : 50.0 | done : False
