episode : 177 | score_avg : -285.0878173636716 | loss : -0.01049376092851162 | done : False
episode : 178 | score_avg : -282.62903562730446 | loss : -0.03472842276096344 | done : False
episode : 179 | score_avg : -279.416132064574 | loss : 0.003469190327450633 | done : False
episode : 180 | score_avg : -279.37451885811663 | loss : 0.02926500514149666 | done : False
episode : 181 | score_avg : -283.83706697230497 | loss : 0.0271818358451128 | done : False
episode : 182 | score_avg : -282.7033602750745 | loss : 0.008693587966263294 | done : False
episode : 183 | score_avg : -281.933024247567 | loss : 0.02543451078236103 | done : False
episode : 184 | score_avg : -279.1397218228103 | loss : 0.0014662420144304633 | done : False
episode : 185 | score_avg : -280.1257496405293 | loss : -0.008333826437592506 | done : False
episode : 186 | score_avg : -277.1631746764764 | loss : 0.00107005110476166 | done : False
episode : 187 | score_avg : -275.59685720882874 | loss : -0.012081187218427658 | done : False
episode : 188 | score_avg : -273.9871714879459 | loss : -0.027558157220482826 | done : False
episode : 189 | score_avg : -293.3384543391513 | loss : -0.00010806928912643343 | done : False
episode : 190 | score_avg : -289.0546089052362 | loss : -0.01531956810504198 | done : False
episode : 191 | score_avg : -285.29914801471256 | loss : 0.0016901862109079957 | done : False
episode : 192 | score_avg : -288.3192332132413 | loss : 0.029020877555012703 | done : False
episode : 193 | score_avg : -284.6373098919172 | loss : -0.028344905003905296 | done : False
episode : 194 | score_avg : -281.2235789027255 | loss : -0.0157542172819376 | done : False
episode : 195 | score_avg : -279.45122101245295 | loss : -0.02451052889227867 | done : False
episode : 196 | score_avg : -276.55609891120764 | loss : -0.040347304195165634 | done : False
episode : 197 | score_avg : -274.3504890200869 | loss : -0.03873943164944649 | done : False
episode : 198 | score_avg : -273.56544011807824 | loss : -0.01745038479566574 | done : False
episode : 199 | score_avg : -279.3088961062704 | loss : -0.0023134767543524504 | done : False
episode : 200 | score_avg : -276.4280064956434 | loss : -0.029687050729990005 | done : False
episode : 201 | score_avg : -274.6352058460791 | loss : -0.010936383157968521 | done : False
episode : 202 | score_avg : -274.4216852614712 | loss : 0.05874549597501755 | done : False
episode : 203 | score_avg : -307.0795167353241 | loss : 9.859211921691895 | done : False
episode : 204 | score_avg : -322.62156506179167 | loss : -0.014584868215024471 | done : False
episode : 205 | score_avg : -317.8094085556125 | loss : 0.007621890865266323 | done : False
episode : 206 | score_avg : -313.27846770005124 | loss : 0.001807213295251131 | done : False
episode : 207 | score_avg : -307.0006209300461 | loss : -0.015866762027144432 | done : False
episode : 208 | score_avg : -301.35055883704155 | loss : -0.008508645929396152 | done : False
