episode : 0 | score_avg : -100 | loss : 0.3184604346752167 | sigma : 1.1141232252120972 | done : False
episode : 0 | score_avg : -68.31637608937791 | loss : 0.6531893610954285 | sigma : 1.0975170135498047 | done : False
frame over 100 | episode : 96 | score_avg : -80.00582982123892 | loss : 1.8447997570037842 | sigma : 1.0965508222579956 | done : False
frame over 100 | episode : 97 | score_avg : -82.00524683911503 | loss : 0.2569049596786499 | sigma : 1.0983492136001587 | done : False
frame over 100 | episode : 98 | score_avg : -83.80472215520354 | loss : -0.005833751987665892 | sigma : 1.1053582429885864 | done : False
frame over 100 | episode : 99 | score_avg : -85.42424993968318 | loss : 5.780016899108887 | sigma : 1.1123601198196411 | done : False
frame over 100 | episode : 100 | score_avg : -83.0952772611942 | loss : 12.1163330078125 | sigma : 1.1216872930526733 | done : False
frame over 100 | episode : 101 | score_avg : -80.73815158837664 | loss : 29.18577003479004 | sigma : 1.129379153251648 | done : False
frame over 100 | episode : 102 | score_avg : -75.95999034146388 | loss : 7.825991630554199 | sigma : 1.1378215551376343 | done : False
frame over 100 | episode : 103 | score_avg : -78.36399130731749 | loss : 1.050132393836975 | sigma : 1.1336219310760498 | done : False
frame over 100 | episode : 104 | score_avg : -80.52759217658574 | loss : -0.001591118285432458 | sigma : 1.1363632678985596 | done : False
frame over 100 | episode : 105 | score_avg : -82.47483295892717 | loss : 0.6441841721534729 | sigma : 1.14423668384552 | done : False
frame over 100 | episode : 106 | score_avg : -84.22734966303445 | loss : 0.3563120365142822 | sigma : 1.1473579406738281 | done : False
frame over 100 | episode : 107 | score_avg : -84.47312718197321 | loss : 31.472314834594727 | sigma : 1.154837727546692 | done : False
frame over 100 | episode : 108 | score_avg : -86.02581446377589 | loss : -0.006171769928187132 | sigma : 1.163153052330017 | done : False
frame over 100 | episode : 109 | score_avg : -87.37319941200904 | loss : 9.528181076049805 | sigma : 1.1681548357009888 | done : False
frame over 100 | episode : 110 | score_avg : -88.63587947080813 | loss : 6.7307915687561035 | sigma : 1.176060438156128 | done : False
frame over 100 | episode : 111 | score_avg : -89.77229152372732 | loss : 1.427850604057312 | sigma : 1.1848417520523071 | done : False
frame over 100 | episode : 112 | score_avg : -90.79506237135459 | loss : 0.9249863624572754 | sigma : 1.1847037076950073 | done : False
frame over 100 | episode : 113 | score_avg : -91.35889464979225 | loss : 0.6142703890800476 | sigma : 1.18296480178833 | done : False
frame over 100 | episode : 114 | score_avg : -91.48755547095773 | loss : 0.24517785012722015 | sigma : 1.1777580976486206 | done : False
frame over 100 | episode : 115 | score_avg : -87.02549025700054 | loss : 60.925296783447266 | sigma : 1.1777042150497437 | done : False
frame over 100 | episode : 116 | score_avg : -86.05655170520532 | loss : 94.63683319091797 | sigma : 1.1800315380096436 | done : False
frame over 100 | episode : 117 | score_avg : -87.45089653468479 | loss : 0.022532034665346146 | sigma : 1.187697410583496 | done : False
frame over 100 | episode : 118 | score_avg : -88.7058068812163 | loss : 0.00034018282894976437 | sigma : 1.195389986038208 | done : False
frame over 100 | episode : 119 | score_avg : -89.83522619309467 | loss : 0.23422886431217194 | sigma : 1.2004927396774292 | done : False
frame over 100 | episode : 120 | score_avg : -90.8517035737852 | loss : -0.006648331414908171 | sigma : 1.2096118927001953 | done : False
frame over 100 | episode : 121 | score_avg : -90.47878440022069 | loss : 12.57545280456543 | sigma : 1.194496989250183 | done : False
frame over 100 | episode : 122 | score_avg : -91.43090596019863 | loss : 0.0011450955644249916 | sigma : 1.1909494400024414 | done : False
frame over 100 | episode : 123 | score_avg : -92.28781536417877 | loss : 0.1473371386528015 | sigma : 1.1999493837356567 | done : False
frame over 100 | episode : 124 | score_avg : -93.0590338277609 | loss : -0.005643550772219896 | sigma : 1.211646318435669 | done : False
frame over 100 | episode : 125 | score_avg : -89.28153358510579 | loss : 67.78388214111328 | sigma : 1.2192535400390625 | done : False
frame over 100 | episode : 126 | score_avg : -90.35338022659522 | loss : 0.12313169240951538 | sigma : 1.2259513139724731 | done : False
frame over 100 | episode : 127 | score_avg : -88.54124426930142 | loss : 68.9522933959961 | sigma : 1.2319141626358032 | done : False
frame over 100 | episode : 128 | score_avg : -89.68711984237127 | loss : 0.036130473017692566 | sigma : 1.2315975427627563 | done : False
frame over 100 | episode : 129 | score_avg : -89.76003600581112 | loss : 1.5685889720916748 | sigma : 1.2272591590881348 | done : False
frame over 100 | episode : 130 | score_avg : -90.19629997639953 | loss : 0.3773002028465271 | sigma : 1.221298336982727 | done : False
frame over 100 | episode : 131 | score_avg : -91.17666997875958 | loss : -0.006098545156419277 | sigma : 1.2271620035171509 | done : False
frame over 100 | episode : 132 | score_avg : -92.05900298088362 | loss : 0.22497041523456573 | sigma : 1.2350319623947144 | done : False
frame over 100 | episode : 133 | score_avg : -92.85310268279525 | loss : -0.0029749455861747265 | sigma : 1.2357890605926514 | done : False
frame over 100 | episode : 134 | score_avg : -92.47638952665774 | loss : 12.628462791442871 | sigma : 1.2315829992294312 | done : False
frame over 100 | episode : 135 | score_avg : -93.22875057399197 | loss : 0.024642430245876312 | sigma : 1.231050968170166 | done : False
frame over 300 | episode : 136 | score_avg : -65.65491179595264 | loss : 5.581291675567627 | sigma : 1.235634446144104 | done : False
frame over 100 | episode : 137 | score_avg : -69.08942061635739 | loss : 0.003154915291815996 | sigma : 1.2565243244171143 | done : False
frame over 100 | episode : 138 | score_avg : -72.18047855472165 | loss : -0.006570463068783283 | sigma : 1.258884072303772 | done : False
frame over 100 | episode : 139 | score_avg : -74.96243069924948 | loss : 1.9456677436828613 | sigma : 1.2637771368026733 | done : False
frame over 100 | episode : 140 | score_avg : -77.46618762932454 | loss : 0.2998749017715454 | sigma : 1.2792385816574097 | done : False
frame over 100 | episode : 141 | score_avg : -79.71956886639208 | loss : 0.8404920101165771 | sigma : 1.2791019678115845 | done : False
frame over 100 | episode : 142 | score_avg : -81.21549117815172 | loss : 12.916836738586426 | sigma : 1.281211256980896 | done : False
frame over 100 | episode : 143 | score_avg : -82.68983487687932 | loss : 28.146902084350586 | sigma : 1.2861379384994507 | done : False
frame over 100 | episode : 144 | score_avg : -84.26549883399645 | loss : 0.02198776975274086 | sigma : 1.2955223321914673 | done : False
frame over 100 | episode : 145 | score_avg : -85.8389489505968 | loss : 0.014808662235736847 | sigma : 1.3000682592391968 | done : False
frame over 100 | episode : 146 | score_avg : -85.84791542412034 | loss : 6.8753228187561035 | sigma : 1.310445785522461 | done : False
frame over 100 | episode : 147 | score_avg : -87.26312388170831 | loss : 0.45104390382766724 | sigma : 1.3308629989624023 | done : False
frame over 100 | episode : 148 | score_avg : -88.53681149353748 | loss : -0.00663501862436533 | sigma : 1.3286877870559692 | done : False
frame over 100 | episode : 149 | score_avg : -89.68313034418374 | loss : -0.007356799673289061 | sigma : 1.3303523063659668 | done : False
frame over 100 | episode : 150 | score_avg : -90.71481730976537 | loss : 0.627250611782074 | sigma : 1.3237404823303223 | done : False
frame over 100 | episode : 151 | score_avg : -91.30859087070257 | loss : 0.10283276438713074 | sigma : 1.3265492916107178 | done : False
frame over 100 | episode : 152 | score_avg : -92.17773178363232 | loss : 0.005322339944541454 | sigma : 1.3296709060668945 | done : False
frame over 100 | episode : 153 | score_avg : -92.9599586052691 | loss : -0.006561602465808392 | sigma : 1.3377195596694946 | done : False
frame over 100 | episode : 154 | score_avg : -93.6639627447422 | loss : -0.006801702547818422 | sigma : 1.3430153131484985 | done : False
frame over 100 | episode : 155 | score_avg : -94.29756647026798 | loss : -0.006215146277099848 | sigma : 1.3438873291015625 | done : False
frame over 100 | episode : 156 | score_avg : -94.50479608703198 | loss : 0.09986671805381775 | sigma : 1.3489795923233032 | done : False
frame over 100 | episode : 157 | score_avg : -95.05431647832879 | loss : 0.2866579294204712 | sigma : 1.3544121980667114 | done : False
frame over 100 | episode : 158 | score_avg : -95.54888483049591 | loss : -0.007336324546486139 | sigma : 1.3602981567382812 | done : False
frame over 100 | episode : 159 | score_avg : -95.99399634744631 | loss : -0.0030755719635635614 | sigma : 1.3601738214492798 | done : False
frame over 100 | episode : 160 | score_avg : -95.98996501149544 | loss : 0.3838690519332886 | sigma : 1.3626925945281982 | done : False
frame over 100 | episode : 161 | score_avg : -96.3909685103459 | loss : -0.0071478597819805145 | sigma : 1.366732120513916 | done : False
frame over 100 | episode : 162 | score_avg : -95.7692546563406 | loss : 76.73412322998047 | sigma : 1.368132472038269 | done : False
frame over 100 | episode : 163 | score_avg : -96.19232919070654 | loss : -0.0072303456254303455 | sigma : 1.3619780540466309 | done : False
frame over 100 | episode : 164 | score_avg : -96.57309627163589 | loss : 0.022504722699522972 | sigma : 1.361503005027771 | done : False
frame over 100 | episode : 165 | score_avg : -95.50239620084862 | loss : 45.868682861328125 | sigma : 1.3556774854660034 | done : False
frame over 300 | episode : 166 | score_avg : -70.35365411465077 | loss : 0.2549562156200409 | sigma : 1.3646061420440674 | done : False
frame over 100 | episode : 167 | score_avg : -73.31828870318569 | loss : -0.006803304422646761 | sigma : 1.381075143814087 | done : False
frame over 300 | episode : 168 | score_avg : -46.93491276771614 | loss : 0.47772467136383057 | sigma : 1.389551043510437 | done : False
frame over 100 | episode : 169 | score_avg : -50.76610728798867 | loss : 8.77225112915039 | sigma : 1.4047393798828125 | done : False
frame over 100 | episode : 170 | score_avg : -55.6894965591898 | loss : 0.9086208939552307 | sigma : 1.4089831113815308 | done : False
frame over 100 | episode : 171 | score_avg : -59.71887644191667 | loss : 0.19072428345680237 | sigma : 1.408844232559204 | done : False
frame over 100 | episode : 172 | score_avg : -63.746988797725 | loss : -0.007310162298381329 | sigma : 1.416104793548584 | done : False
frame over 100 | episode : 173 | score_avg : -67.3722899179525 | loss : -0.007219343911856413 | sigma : 1.4217796325683594 | done : False
frame over 100 | episode : 174 | score_avg : -70.47995760743602 | loss : 0.05870874598622322 | sigma : 1.4278440475463867 | done : False
frame over 100 | episode : 175 | score_avg : -71.99129447108135 | loss : 48.07378005981445 | sigma : 1.4315383434295654 | done : False
frame over 100 | episode : 176 | score_avg : -74.79216502397321 | loss : -0.005984621588140726 | sigma : 1.4259485006332397 | done : False
frame over 100 | episode : 177 | score_avg : -77.31294852157589 | loss : 5.1566267013549805 | sigma : 1.4306470155715942 | done : False
frame over 100 | episode : 178 | score_avg : -79.5816536694183 | loss : -0.007861512713134289 | sigma : 1.4334073066711426 | done : False
frame over 100 | episode : 179 | score_avg : -81.62348830247647 | loss : -0.007875933311879635 | sigma : 1.4325393438339233 | done : False
frame over 100 | episode : 180 | score_avg : -83.46113947222882 | loss : -0.00034762348514050245 | sigma : 1.4330401420593262 | done : False
frame over 100 | episode : 181 | score_avg : -85.11502552500595 | loss : -0.007256590761244297 | sigma : 1.4470592737197876 | done : False
frame over 100 | episode : 182 | score_avg : -86.39548816665206 | loss : 0.0532057024538517 | sigma : 1.4550762176513672 | done : False
frame over 100 | episode : 183 | score_avg : -86.22034998336062 | loss : 50.55687713623047 | sigma : 1.461730718612671 | done : False
frame over 100 | episode : 184 | score_avg : -85.21990001315697 | loss : 13.723223686218262 | sigma : 1.4578356742858887 | done : False
frame over 100 | episode : 185 | score_avg : -85.5914975404971 | loss : 0.36200469732284546 | sigma : 1.4641551971435547 | done : False
frame over 100 | episode : 186 | score_avg : -87.03234778644739 | loss : 0.009161715395748615 | sigma : 1.473129391670227 | done : False
frame over 100 | episode : 187 | score_avg : -86.74627316811862 | loss : 8.863475799560547 | sigma : 1.4769526720046997 | done : False
frame over 100 | episode : 188 | score_avg : -87.97040511070009 | loss : 0.035983797162771225 | sigma : 1.485081434249878 | done : False
frame over 100 | episode : 189 | score_avg : -75.15613826866498 | loss : 1.4185692071914673 | sigma : 1.5034345388412476 | done : False
frame over 100 | episode : 190 | score_avg : -77.64052444179848 | loss : -0.007060760632157326 | sigma : 1.519777774810791 | done : False
frame over 100 | episode : 191 | score_avg : -79.12773381808027 | loss : 0.4774157404899597 | sigma : 1.5313466787338257 | done : False
frame over 100 | episode : 192 | score_avg : -81.00445083970394 | loss : 0.823784589767456 | sigma : 1.537553071975708 | done : False
frame over 100 | episode : 193 | score_avg : -82.90400575573355 | loss : 0.022056691348552704 | sigma : 1.540013074874878 | done : False
frame over 100 | episode : 194 | score_avg : -84.61360518016019 | loss : 0.26967471837997437 | sigma : 1.5358407497406006 | done : False
frame over 100 | episode : 195 | score_avg : -86.15224466214417 | loss : 0.02042045071721077 | sigma : 1.5506075620651245 | done : False
frame over 100 | episode : 196 | score_avg : -87.53702019592976 | loss : -0.008624713867902756 | sigma : 1.556223750114441 | done : False
frame over 100 | episode : 197 | score_avg : -88.78331817633678 | loss : -0.00795457512140274 | sigma : 1.5625799894332886 | done : False
frame over 300 | episode : 198 | score_avg : -63.08132541665497 | loss : 24.924047470092773 | sigma : 1.5731725692749023 | done : False
frame over 100 | episode : 199 | score_avg : -66.77319287498948 | loss : -0.007123945280909538 | sigma : 1.5701707601547241 | done : False
frame over 300 | episode : 200 | score_avg : -44.83178105348141 | loss : 4.9155731201171875 | sigma : 1.601007342338562 | done : False
frame over 100 | episode : 201 | score_avg : -50.34860294813327 | loss : -0.008844765834510326 | sigma : 1.6170982122421265 | done : False
frame over 100 | episode : 202 | score_avg : -55.110069073504306 | loss : 1.1512452363967896 | sigma : 1.6141949892044067 | done : False
frame over 300 | episode : 203 | score_avg : -33.33261549361368 | loss : 1.1809351444244385 | sigma : 1.6118563413619995 | done : False
frame over 300 | episode : 204 | score_avg : -13.887537162143644 | loss : 0.07824812084436417 | sigma : 1.613830804824829 | done : False
frame over 100 | episode : 205 | score_avg : -22.49878344592928 | loss : 2.208815336227417 | sigma : 1.6095244884490967 | done : False
frame over 100 | episode : 206 | score_avg : -30.24890510133635 | loss : 0.04463578388094902 | sigma : 1.6088229417800903 | done : False
frame over 300 | episode : 207 | score_avg : -10.379202947435747 | loss : -0.004025447182357311 | sigma : 1.6143282651901245 | done : False
frame over 300 | episode : 208 | score_avg : 11.172817851070398 | loss : 0.011686509475111961 | sigma : 1.6459150314331055 | done : False
frame over 100 | episode : 209 | score_avg : 0.05553606596335925 | loss : -0.008103067055344582 | sigma : 1.6808339357376099 | done : False
frame over 100 | episode : 210 | score_avg : -9.950017540632977 | loss : 0.15603308379650116 | sigma : 1.6978427171707153 | done : False
frame over 100 | episode : 211 | score_avg : -18.955015786569682 | loss : 2.2194576263427734 | sigma : 1.7009234428405762 | done : False
frame over 100 | episode : 212 | score_avg : -27.059514207912713 | loss : -0.006708265747874975 | sigma : 1.7009695768356323 | done : False
frame over 100 | episode : 213 | score_avg : -34.35356278712145 | loss : 0.9131166934967041 | sigma : 1.7001293897628784 | done : False
frame over 100 | episode : 214 | score_avg : -40.9182065084093 | loss : 0.12549813091754913 | sigma : 1.6881121397018433 | done : False
frame over 100 | episode : 215 | score_avg : -46.82638585756837 | loss : 0.0009193471632897854 | sigma : 1.6885663270950317 | done : False
frame over 100 | episode : 216 | score_avg : -52.143747271811534 | loss : -0.0006802295101806521 | sigma : 1.6957381963729858 | done : False
frame over 100 | episode : 217 | score_avg : -56.92937254463038 | loss : -0.009655634872615337 | sigma : 1.6987597942352295 | done : False
frame over 300 | episode : 218 | score_avg : -35.81414093370512 | loss : 8.718189239501953 | sigma : 1.6903691291809082 | done : False
frame over 100 | episode : 219 | score_avg : -42.23272684033461 | loss : -0.008006652817130089 | sigma : 1.693971872329712 | done : False
frame over 100 | episode : 220 | score_avg : -47.58729691055685 | loss : 2.1343791484832764 | sigma : 1.6986846923828125 | done : False
frame over 100 | episode : 221 | score_avg : -52.82856721950117 | loss : 1.5962004661560059 | sigma : 1.6993144750595093 | done : False
