episode : 117 | score_avg : 12.34481908819448 | loss : 5.344625949859619 | done : True
episode : 118 | score_avg : 12.210337179375033 | loss : 26.036510467529297 | done : True
episode : 119 | score_avg : 11.78930346143753 | loss : 2.972045421600342 | done : True
episode : 120 | score_avg : 11.760373115293778 | loss : 3.7038376331329346 | done : True
episode : 121 | score_avg : 11.5843358037644 | loss : 51.93682861328125 | done : True
episode : 122 | score_avg : 11.675902223387961 | loss : 3.9265382289886475 | done : True
episode : 123 | score_avg : 11.508312001049166 | loss : 52.12164306640625 | done : True
episode : 124 | score_avg : 11.807480800944251 | loss : 5.728116512298584 | done : True
episode : 125 | score_avg : 11.976732720849826 | loss : 7.58022928237915 | done : True
episode : 126 | score_avg : 12.179059448764844 | loss : 6.373024940490723 | done : True
episode : 127 | score_avg : 12.36115350388836 | loss : 4.709083557128906 | done : True
episode : 128 | score_avg : 12.125038153499524 | loss : 3.5786828994750977 | done : True
episode : 129 | score_avg : 12.312534338149572 | loss : 4.697627544403076 | done : True
episode : 130 | score_avg : 12.431280904334615 | loss : 7.600252628326416 | done : True
episode : 131 | score_avg : 12.538152813901153 | loss : 8.853472709655762 | done : True
episode : 132 | score_avg : 12.384337532511038 | loss : 25.569658279418945 | done : True
episode : 133 | score_avg : 12.545903779259936 | loss : 6.689523220062256 | done : True
episode : 134 | score_avg : 12.391313401333942 | loss : 3.802690267562866 | done : True
episode : 135 | score_avg : 12.302182061200549 | loss : 3.5961179733276367 | done : True
episode : 136 | score_avg : 11.671963855080493 | loss : 2.9338533878326416 | done : True
episode : 137 | score_avg : 11.854767469572444 | loss : 7.6152119636535645 | done : True
episode : 138 | score_avg : 11.869290722615201 | loss : 17.53182029724121 | done : True
episode : 139 | score_avg : 11.88236165035368 | loss : 12.70691967010498 | done : True
episode : 140 | score_avg : 12.144125485318312 | loss : 4.498126983642578 | done : True
episode : 141 | score_avg : 11.679712936786482 | loss : 2.9312469959259033 | done : True
episode : 142 | score_avg : 12.061741643107835 | loss : 5.2330732345581055 | done : True
episode : 143 | score_avg : 11.855567478797052 | loss : 51.635738372802734 | done : True
episode : 144 | score_avg : 12.220010730917348 | loss : 5.363255023956299 | done : True
episode : 145 | score_avg : 12.048009657825615 | loss : 3.402630090713501 | done : True
episode : 146 | score_avg : 11.693208692043052 | loss : 3.169179916381836 | done : True
episode : 147 | score_avg : 11.773887822838747 | loss : 10.588411331176758 | done : True
episode : 148 | score_avg : 11.196499040554873 | loss : 3.05827260017395 | done : True
episode : 149 | score_avg : 11.076849136499385 | loss : 51.04521179199219 | done : True
episode : 150 | score_avg : 10.869164222849447 | loss : 3.3988840579986572 | done : True
episode : 151 | score_avg : 10.982247800564501 | loss : 4.25061559677124 | done : True
