episode : 15 | score_avg : -342.3134207988115 | loss : 0.015000724233686924 | done : False
episode : 16 | score_avg : -283.03207871893034 | loss : 0.3132222592830658 | done : False
episode : 17 | score_avg : -229.6788708470373 | loss : 0.056554317474365234 | done : False
episode : 18 | score_avg : -266.8109837623336 | loss : 10.109981536865234 | done : False
episode : 19 | score_avg : -300.22988538610025 | loss : 10.199666976928711 | done : False
episode : 20 | score_avg : -319.85689684749025 | loss : 0.24013778567314148 | done : False
episode : 21 | score_avg : -267.4712071627413 | loss : 0.8363461494445801 | done : False
episode : 22 | score_avg : -300.82408644646716 | loss : 10.14515495300293 | done : False
episode : 23 | score_avg : -301.94167780182045 | loss : 0.20353759825229645 | done : False
episode : 0 | score_avg : 250.5 | loss : 0.20971494913101196 | done : False
episode : 1 | score_avg : 201.0 | loss : 0.07787957042455673 | done : False
episode : 2 | score_avg : 202.20000000000002 | loss : 0.05632482096552849 | done : False
episode : 3 | score_avg : 155.88000000000002 | loss : 0.17595195770263672 | done : False
episode : 4 | score_avg : 80.19200000000004 | loss : 10.069436073303223 | done : False
episode : 5 | score_avg : 61.37280000000004 | loss : 0.32914790511131287 | done : False
episode : 6 | score_avg : 56.885520000000035 | loss : 0.3112261891365051 | done : False
episode : 7 | score_avg : 74.44696800000003 | loss : 0.08046038448810577 | done : False
episode : 8 | score_avg : 92.05227120000002 | loss : -0.020153772085905075 | done : False
episode : 9 | score_avg : 100.84704408000002 | loss : 0.12779663503170013 | done : False
episode : 10 | score_avg : 114.76233967200002 | loss : -0.033078987151384354 | done : False
episode : 11 | score_avg : 128.03610570480004 | loss : -0.040984828025102615 | done : False
episode : 12 | score_avg : 140.28249513432004 | loss : -0.04635171219706535 | done : False
episode : 13 | score_avg : 151.30424562088805 | loss : -0.043450623750686646 | done : False
episode : 14 | score_avg : 76.07382105879927 | loss : 10.231551170349121 | done : False
episode : 15 | score_avg : 86.31643895291936 | loss : 2.3902201652526855 | done : False
episode : 16 | score_avg : 51.584795057627424 | loss : 2.1541028022766113 | done : False
episode : 17 | score_avg : 65.02631555186468 | loss : 0.057489823549985886 | done : False
episode : 18 | score_avg : 75.62368399667821 | loss : 0.12907592952251434 | done : False
episode : 19 | score_avg : 87.2613155970104 | loss : 0.6956148743629456 | done : False
episode : 20 | score_avg : 103.58518403730936 | loss : -0.020394837483763695 | done : False
episode : 21 | score_avg : 117.37666563357843 | loss : 0.19307288527488708 | done : False
episode : 22 | score_avg : 130.6889990702206 | loss : -0.03964879736304283 | done : False
episode : 23 | score_avg : 141.77009916319855 | loss : -0.02260751836001873 | done : False
episode : 24 | score_avg : 149.9430892468787 | loss : 0.006619550287723541 | done : False
episode : 25 | score_avg : 157.59878032219086 | loss : 4.421070480020717e-05 | done : False
episode : 26 | score_avg : 165.08890228997177 | loss : 0.3829195201396942 | done : False
episode : 27 | score_avg : 173.63001206097462 | loss : -0.027002690359950066 | done : False
episode : 28 | score_avg : 180.86701085487715 | loss : -0.0188505407422781 | done : False
episode : 29 | score_avg : 187.83030976938946 | loss : -0.02568782866001129 | done : False
episode : 30 | score_avg : 193.04727879245053 | loss : -0.0027542547322809696 | done : False
episode : 31 | score_avg : 198.7925509132055 | loss : -0.021707767620682716 | done : False
episode : 32 | score_avg : 203.96329582188497 | loss : -0.01676851138472557 | done : False
episode : 33 | score_avg : 207.7169662396965 | loss : 0.005129370838403702 | done : False
