episode : 100 | score_avg : -266.32840600355485 | loss : 0.07919743657112122 | done : False
episode : 101 | score_avg : -265.19556540319934 | loss : 0.04417754337191582 | done : False
episode : 102 | score_avg : -276.67600886287937 | loss : 0.045651715248823166 | done : False
episode : 103 | score_avg : -274.75840797659146 | loss : -0.013121789321303368 | done : False
episode : 104 | score_avg : -272.3325671789323 | loss : 0.0818224772810936 | done : False
episode : 105 | score_avg : -259.1993104610391 | loss : 0.8590112924575806 | done : False
episode : 106 | score_avg : -261.42937941493517 | loss : 0.2537723183631897 | done : False
episode : 107 | score_avg : -260.78644147344164 | loss : 0.22212213277816772 | done : False
episode : 108 | score_avg : -260.2077973260975 | loss : 0.1315990388393402 | done : False
episode : 109 | score_avg : -259.3870175934877 | loss : 0.15433044731616974 | done : False
episode : 110 | score_avg : -293.548315834139 | loss : 10.001389503479004 | done : False
episode : 111 | score_avg : -301.1934842507251 | loss : 0.15359117090702057 | done : False
episode : 112 | score_avg : -297.9741358256526 | loss : 0.10537096112966537 | done : False
episode : 113 | score_avg : -298.5767222430873 | loss : 0.22396129369735718 | done : False
episode : 114 | score_avg : -295.3690500187786 | loss : 0.07276243716478348 | done : False
episode : 115 | score_avg : -294.2821450169007 | loss : 0.22356358170509338 | done : False
episode : 116 | score_avg : -291.60393051521066 | loss : 0.01911083050072193 | done : False
episode : 117 | score_avg : -287.4935374636896 | loss : 0.003984817303717136 | done : False
episode : 118 | score_avg : -285.54418371732066 | loss : 0.1042548269033432 | done : False
episode : 119 | score_avg : -286.5897653455886 | loss : 0.03489504009485245 | done : False
episode : 120 | score_avg : -283.13078881102973 | loss : 0.01291646622121334 | done : False
episode : 121 | score_avg : -276.8677099299268 | loss : 0.10994557291269302 | done : False
episode : 122 | score_avg : -279.5809389369341 | loss : 0.004891887307167053 | done : False
episode : 123 | score_avg : -282.42284504324067 | loss : 0.11036822944879532 | done : False
episode : 124 | score_avg : -286.0805605389166 | loss : 0.10681848227977753 | done : False
episode : 125 | score_avg : -283.27250448502497 | loss : 0.019029248505830765 | done : False
episode : 126 | score_avg : -280.8952540365225 | loss : 0.007445338647812605 | done : False
episode : 127 | score_avg : -277.85572863287024 | loss : 0.02298201248049736 | done : False
episode : 128 | score_avg : -279.7701557695832 | loss : 0.07876134663820267 | done : False
episode : 129 | score_avg : -277.0931401926249 | loss : -0.018924538046121597 | done : False
episode : 130 | score_avg : -275.6338261733624 | loss : -0.005860856734216213 | done : False
episode : 131 | score_avg : -273.1204435560262 | loss : -0.011191694997251034 | done : False
episode : 132 | score_avg : -270.8583992004236 | loss : -0.029963312670588493 | done : False
episode : 133 | score_avg : -268.82255928038126 | loss : -0.00750785181298852 | done : False
episode : 134 | score_avg : -266.9903033523431 | loss : -0.006883278489112854 | done : False
episode : 135 | score_avg : -265.5412730171088 | loss : -0.002923176856711507 | done : False
episode : 136 | score_avg : -299.0871457153979 | loss : 10.04845905303955 | done : False
episode : 137 | score_avg : -307.0784311438581 | loss : 0.1570693403482437 | done : False
episode : 138 | score_avg : -321.3705880294723 | loss : 0.09363579005002975 | done : False
episode : 139 | score_avg : -315.0335292265251 | loss : 0.0021415248047560453 | done : False
episode : 140 | score_avg : -310.08017630387263 | loss : 0.056555021554231644 | done : False
episode : 141 | score_avg : -339.1721586734854 | loss : 10.06875228881836 | done : False
episode : 142 | score_avg : -351.55494280613686 | loss : 0.04107850417494774 | done : False
episode : 143 | score_avg : -343.0994485255232 | loss : 0.058284223079681396 | done : False
episode : 144 | score_avg : -333.8395036729709 | loss : 0.11062934994697571 | done : False
episode : 145 | score_avg : -325.50555330567386 | loss : -0.00652535492554307 | done : False
episode : 146 | score_avg : -318.0049979751065 | loss : -0.0009510055533610284 | done : False
episode : 147 | score_avg : -311.25449817759585 | loss : -0.02232319302856922 | done : False
episode : 148 | score_avg : -306.42904835983626 | loss : -0.01022020447999239 | done : False
episode : 149 | score_avg : -300.8361435238526 | loss : -0.013182730413973331 | done : False
episode : 150 | score_avg : -306.95252917146735 | loss : 0.07611081004142761 | done : False
episode : 151 | score_avg : -301.9572762543206 | loss : 0.06752954423427582 | done : False
episode : 152 | score_avg : -297.5615486288886 | loss : -0.023989275097846985 | done : False
episode : 153 | score_avg : -293.35539376599974 | loss : -0.01009705476462841 | done : False
episode : 154 | score_avg : -289.0698543893998 | loss : 9.776256047189236e-05 | done : False
episode : 155 | score_avg : -287.0628689504598 | loss : 0.049817509949207306 | done : False
episode : 156 | score_avg : -284.6565820554138 | loss : 0.012288497760891914 | done : False
episode : 157 | score_avg : -285.54092384987246 | loss : -0.012097160331904888 | done : False
episode : 158 | score_avg : -284.9368314648852 | loss : 0.0350210927426815 | done : False
episode : 159 | score_avg : -281.49314831839666 | loss : 0.005715539678931236 | done : False
episode : 160 | score_avg : -279.293833486557 | loss : -0.00737418420612812 | done : False
episode : 161 | score_avg : -277.11445013790126 | loss : 0.8361918330192566 | done : False
episode : 162 | score_avg : -277.00300512411116 | loss : -0.011807763017714024 | done : False
episode : 163 | score_avg : -274.85270461170006 | loss : 0.5025978684425354 | done : False
