episode : 117 | score_avg : 70.47815850203558 | loss : 40.66294860839844 | sigma : 5.041091442108154 | done : True
episode : 118 | score_avg : 83.53034265183203 | loss : -0.023076392710208893 | sigma : 5.233804702758789 | done : False
episode : 119 | score_avg : 74.07730838664884 | loss : 927.4440307617188 | sigma : 5.434843063354492 | done : True
episode : 120 | score_avg : 65.06957754798397 | loss : 47.11138916015625 | sigma : 5.454654693603516 | done : True
episode : 121 | score_avg : 76.71261979318558 | loss : 0.10447956621646881 | sigma : 5.599178791046143 | done : False
episode : 122 | score_avg : 89.14135781386702 | loss : -0.02574383094906807 | sigma : 6.006574630737305 | done : False
episode : 123 | score_avg : 100.32722203248031 | loss : -0.026202496141195297 | sigma : 6.538001537322998 | done : False
episode : 124 | score_avg : 107.89449982923227 | loss : 0.15064705908298492 | sigma : 7.069677352905273 | done : False
episode : 125 | score_avg : 114.25504984630905 | loss : 105.69730377197266 | sigma : 7.7049031257629395 | done : False
episode : 126 | score_avg : 100.52954486167815 | loss : 1546.5643310546875 | sigma : 8.01991081237793 | done : True
episode : 127 | score_avg : 110.12659037551035 | loss : 0.0015024617314338684 | sigma : 8.314342498779297 | done : False
episode : 128 | score_avg : 119.21393133795931 | loss : -0.03140634298324585 | sigma : 8.974605560302734 | done : False
episode : 129 | score_avg : 127.39253820416337 | loss : -0.034947652369737625 | sigma : 9.647989273071289 | done : False
episode : 130 | score_avg : 116.25328438374703 | loss : 4.612882614135742 | sigma : 9.7565336227417 | done : True
episode : 131 | score_avg : 102.97795594537233 | loss : 16.32378387451172 | sigma : 9.763442039489746 | done : True
episode : 132 | score_avg : 90.6801603508351 | loss : 24.40974998474121 | sigma : 9.731947898864746 | done : True
episode : 133 | score_avg : 80.2621443157516 | loss : 125.96117401123047 | sigma : 9.694293975830078 | done : True
episode : 134 | score_avg : 92.33592988417644 | loss : -0.03320935368537903 | sigma : 10.035667419433594 | done : False
episode : 135 | score_avg : 103.2023368957588 | loss : -0.03811247646808624 | sigma : 10.937752723693848 | done : False
episode : 136 | score_avg : 92.23210320618293 | loss : 50.63022994995117 | sigma : 11.253657341003418 | done : True
episode : 137 | score_avg : 101.60889288556464 | loss : 0.07036054879426956 | sigma : 11.479677200317383 | done : False
episode : 138 | score_avg : 111.54800359700818 | loss : -0.03889506310224533 | sigma : 12.715300559997559 | done : False
